idHecho,N_VICTIMAS,FECHA_x,AAAA_x,MM_x,DD_x,HORA,HH,TIPO_DE_CALLE,COMUNA,Longitud,Latitud,VICTIMA_x,ACUSADO,ROL,SEXO,semestre,dia_semana_espanol,Rango Etario
2016-0047,1,2016-04-15,2016,4,15,2023-12-05 05:30:00,5,calle,1,-58.38247061,-34.62571878,peaton,pasajeros,peaton,masculino,1,Viernes,Adulto de Edad Media
2016-0048,1,2016-04-15,2016,4,15,2023-12-05 17:40:00,17,avenida,15,-58.44759966,-34.5917024,peaton,pasajeros,peaton,femenino,1,Viernes,Adulto de Edad Media
2016-0049,1,2016-04-17,2016,4,17,2023-12-05 00:00:00,0,autopista,4,-58.37714647568196,-34.63657525428238,sd,sd,sd,sd,1,Domingo,Adulto de Edad Media
2016-0050,1,2016-04-19,2016,4,19,2023-12-05 09:50:00,9,avenida,8,-58.47305463,-34.68550712,peaton,pasajeros,peaton,masculino,1,Martes,Anciano
2016-0051,1,2016-04-20,2016,4,20,2023-12-05 04:00:00,4,avenida,4,-58.40623949,-34.65076549,moto,cargas,conductor,masculino,1,Miércoles,Adulto de Edad Media
2016-0052,1,2016-04-20,2016,4,20,2023-12-05 20:00:00,20,autopista,13,0.0,0.0,moto,sd,sd,sd,1,Miércoles,Adulto de Edad Media
2016-0053,1,2016-04-22,2016,4,22,2023-12-05 09:30:00,9,avenida,12,-58.4842918,-34.57558053,peaton,pasajeros,peaton,masculino,1,Viernes,Adulto de Edad Media
2016-0054,1,2016-04-23,2016,4,23,2023-12-05 21:00:00,21,autopista,8,-58.48695354,-34.68795245,moto,moto,conductor,masculino,1,Sábado,Adulto
2016-0055,1,2016-04-25,2016,4,25,2023-12-05 20:30:00,20,avenida,14,-58.40021959,-34.57964781,peaton,cargas,peaton,masculino,1,Lunes,Anciano
2016-0056,1,2016-04-26,2016,4,26,2023-12-05 04:45:00,4,avenida,14,-58.42957885,-34.57660058,moto,objeto fijo,conductor,masculino,1,Martes,Adulto
2016-0058,1,2016-05-04,2016,5,4,2023-12-05 14:00:00,14,calle,1,-58.38247542,-34.62556293,peaton,moto,peaton,femenino,1,Miércoles,Adulto Mayor
2016-0059,1,2016-05-08,2016,5,8,2023-12-05 16:30:00,16,calle,1,-58.38222219,-34.62728101,peaton,pasajeros,peaton,masculino,1,Domingo,Adulto de Edad Media
2016-0064,1,2016-05-14,2016,5,14,2023-12-05 18:11:00,18,avenida,10,-58.49485242,-34.62953445,peaton,pasajeros,peaton,masculino,1,Sábado,Adulto Joven
2016-0065,1,2016-05-20,2016,5,20,2023-12-05 14:40:00,14,avenida,6,-58.45227946,-34.61068024,peaton,auto,peaton,masculino,1,Viernes,Adulto Joven
2016-0067,1,2016-05-21,2016,5,21,2023-12-05 17:00:00,17,avenida,8,-58.48455411,-34.6751276,moto,pasajeros,pasajero_acompaniante,femenino,1,Sábado,Adulto
2016-0068,1,2016-05-22,2016,5,22,2023-12-05 22:00:00,22,avenida,2,-58.39056593,-34.58418569,moto,pasajeros,conductor,masculino,1,Domingo,Adulto Mayor
2016-0069,1,2016-05-23,2016,5,23,2023-12-05 03:30:00,3,avenida,3,-58.39118948,-34.62704273,auto,cargas,conductor,masculino,1,Lunes,Adulto
2016-0073,1,2016-06-11,2016,6,11,2023-12-05 15:00:00,15,calle,10,-58.49021952,-34.62025108,moto,cargas,conductor,masculino,1,Sábado,Adulto Joven
2016-0074,1,2016-06-12,2016,6,12,2023-12-05 06:40:00,6,gral paz,8,-58.49896559,-34.67732118,auto,auto,conductor,masculino,1,Domingo,Anciano
2016-0075,1,2016-06-12,2016,6,12,2023-12-05 23:13:00,23,autopista,8,-58.47461076,-34.66874679,peaton,auto,peaton,masculino,1,Domingo,Adulto de Edad Media
2016-0076,1,2016-06-13,2016,6,13,2023-12-05 16:20:00,16,avenida,15,-58.46210891,-34.60356211,peaton,pasajeros,peaton,femenino,1,Lunes,Adulto Mayor
2016-0077,1,2016-06-13,2016,6,13,2023-12-05 21:52:00,21,avenida,1,-58.3702777,-34.60536123,peaton,pasajeros,peaton,femenino,1,Lunes,Adulto de Edad Media
2016-0078,1,2016-06-13,2016,6,13,2023-12-05 23:01:00,23,avenida,3,-58.40491455,-34.6146383,moto,moto,conductor,masculino,1,Lunes,Adulto
2016-0079,1,2016-06-16,2016,6,16,2023-12-05 17:13:00,17,avenida,13,-58.45504154,-34.54864492,auto,auto,conductor,femenino,1,Jueves,Adulto Mayor
2016-0080,1,2016-06-18,2016,6,18,2023-12-05 06:42:00,6,gral paz,9,-58.52927982,-34.63931752,auto,sd,conductor,masculino,1,Sábado,Anciano
2016-0081,1,2016-06-22,2016,6,22,2023-12-05 07:42:00,7,avenida,12,-58.4872106,-34.55904606,moto,auto,conductor,masculino,1,Miércoles,Adulto de Edad Media
2016-0082,1,2016-06-27,2016,6,27,2023-12-05 18:24:00,18,avenida,4,-58.42273092,-34.64228803,peaton,auto,peaton,masculino,1,Lunes,Anciano
2016-0083,1,2016-06-28,2016,6,28,2023-12-05 20:46:00,20,avenida,6,-58.44788671,-34.62539009,peaton,moto,peaton,femenino,1,Martes,Anciano
